SCF Domain,SCF Control,SCF #,"Secure Controls Framework (SCF)
Control Description",Methods To Comply With SCF Controls,SCF Control Question
Configuration Management,Respond To Unauthorized Changes ,CFG-02.8,Mechanisms exist to respond to unauthorized changes to configuration settings as security incidents. ,"- CimTrak Integrity Suite (https://www.cimcor.com/cimtrak/)
- Service Level Agreements (SLAs)
- NNT Change Tracker (https://www.newnettechnologies.com)",Does the organization respond to unauthorized changes to configuration settings as security incidents? 
Configuration Management,Baseline Tailoring,CFG-02.9,"Mechanisms exist to allow baseline controls to be specialized or customized by applying a defined set of tailoring actions that are specific to:
 ▪ Mission / business functions;
 ▪ Operational environment;
 ▪ Specific threats or vulnerabilities; or
 ▪ Other conditions or situations that could affect mission / business success.","- DISA STIGs
- CIS Benchmarks","Does the organization allow baseline controls to be specialized or customized by applying a defined set of tailoring actions that are specific to:
 ▪ Mission / business functions;
 ▪ Operational environment;
 ▪ Specific threats or vulnerabilities; or
 ▪ Other conditions or situations that could affect mission / business success?"
Configuration Management,Least Functionality,CFG-03,"Mechanisms exist to configure systems to provide only essential capabilities by specifically prohibiting or restricting the use of ports, protocols, and/or services. ","- CimTrak Integrity Suite (https://www.cimcor.com/cimtrak/)
- NNT Change Tracker (https://www.newnettechnologies.com)","Does the organization configure systems to provide only essential capabilities by specifically prohibiting or restricting the use of ports, protocols, and/or services? "
Configuration Management,Periodic Review,CFG-03.1,"Mechanisms exist to periodically review system configurations to identify and disable unnecessary and/or non-secure functions, ports, protocols and services.",- NNT Change Tracker (https://www.newnettechnologies.com),"Does the organization periodically review system configurations to identify and disable unnecessary and/or non-secure functions, ports, protocols and services?"
Configuration Management,Prevent Unauthorized Software Execution,CFG-03.2,Mechanisms exist to configure systems to prevent the execution of unauthorized software programs. ,"- CimTrak Integrity Suite (https://www.cimcor.com/cimtrak/)
- NNT Change Tracker (https://www.newnettechnologies.com)",Does the organization use automated mechanisms to prevent the execution of unauthorized software programs? 
Configuration Management,Unauthorized or Authorized Software (Blacklisting or Whitelisting),CFG-03.3,Mechanisms exist to whitelist or blacklist applications in an order to limit what is authorized to execute on systems.,"- CimTrak Integrity Suite (https://www.cimcor.com/cimtrak/)
- NNT Change Tracker (https://www.newnettechnologies.com)",Does the organization whitelist or blacklist applications in an order to limit what is authorized to execute on systems?
Configuration Management,Split Tunneling,CFG-03.4,Mechanisms exist to prevent systems from creating split tunneling connections or similar techniques that could be used to exfiltrate data.,,Does the organization prevent systems from creating split tunneling connections or similar techniques that could be used to exfiltrate data?
Configuration Management,Software Usage Restrictions ,CFG-04,Mechanisms exist to enforce software usage restrictions to comply with applicable contract agreements and copyright laws.,,Does the organization enforce software usage restrictions to comply with applicable contract agreements and copyright laws?
Configuration Management,Open Source Software,CFG-04.1,Mechanisms exist to establish parameters for the secure use of open source software. ,- Acceptable Use Policy (AUP),Does the organization establish parameters for the secure use of open source software? 
Configuration Management,Unsupported Internet Browsers & Email Clients ,CFG-04.2,Mechanisms exist to allow only approved Internet browsers and email clients to run on systems.,,Does the organization allow only approved Internet browsers and email clients to run on systems?
Configuration Management,User-Installed Software,CFG-05,Mechanisms exist to restrict the ability of non-privileged users to install unauthorized software.,- Privileged Account Management (PAM),Does the organization restrict the ability of non-privileged users to install unauthorized software?
Configuration Management,Unauthorized Installation Alerts,CFG-05.1,Mechanisms exist to configure systems to generate an alert when the unauthorized installation of software is detected. ,"- CimTrak Integrity Suite (https://www.cimcor.com/cimtrak/)
- NNT Change Tracker (https://www.newnettechnologies.com)",Does the organization configure systems to generate an alert when the unauthorized installation of software is detected? 
Configuration Management,Restrict Roles Permitted To Install Software,CFG-05.2,"Mechanisms exist to configure systems to prevent the installation of software, unless the action is performed by a privileged user or service.",,"Does the organization prohibit the installation of software, unless the action is performed by a privileged user or service?"
Configuration Management,Configuration Enforcement,CFG-06,"Automated mechanisms exist to monitor, enforce and report on configurations for endpoint devices.",,"Does the organization use automated mechanisms to monitor, enforce and report on configurations for endpoint devices?"
Configuration Management,Zero-Touch Provisioning (ZTP),CFG-07,"Mechanisms exist to implement Zero-Touch Provisioning (ZTP), or similar technology, to automatically and securely configure devices upon being added to a network.",,"Does the organization implement Zero-Touch Provisioning (ZTP), or similar technology, to automatically and securely configure devices upon being added to a network?"
Configuration Management,Sensitive / Regulated Data Access Enforcement,CFG-08,"Mechanisms exist to configure systems, applications and processes to restrict access to sensitive/regulated data.",,"Does the organization configure systems, applications and processes to restrict access to sensitive/regulated data?"
Configuration Management,Sensitive / Regulated Data Actions,CFG-08.1,"Automated mechanisms exist to generate event logs whenever sensitive/regulated data is collected, created, updated, deleted and/or archived.",,"Does the organization ensure event logs are generated whenever sensitive/regulated data is collected, created, updated, deleted and/or archived?"
Continuous Monitoring,Continuous Monitoring,MON-01,Mechanisms exist to facilitate the implementation of enterprise-wide monitoring controls.,"- Splunk
- CimTrak Integrity Suite (https://www.cimcor.com/cimtrak/)
- NNT Change Tracker (https://www.newnettechnologies.com)",Does the organization facilitate the implementation of enterprise-wide monitoring controls?
Continuous Monitoring,Intrusion Detection & Prevention Systems (IDS & IPS),MON-01.1,"Mechanisms exist to implement Intrusion Detection / Prevention Systems (IDS / IPS) technologies on critical systems, key network segments and network choke points.","- CimTrak Integrity Suite (https://www.cimcor.com/cimtrak/)
- NNT Change Tracker (https://www.newnettechnologies.com)","Does the organization implement Intrusion Detection / Prevention Systems (IDS / IPS) technologies on critical systems, key network segments and network choke points?"
Continuous Monitoring,Automated Tools for Real-Time Analysis ,MON-01.2,"Mechanisms exist to utilize a Security Incident Event Manager (SIEM), or similar automated tool, to support near real-time analysis and incident escalation. ","- CimTrak Integrity Suite (https://www.cimcor.com/cimtrak/)
- NNT Change Tracker (https://www.newnettechnologies.com)","Does the organization utilize a Security Incident Event Manager (SIEM), or similar automated tool, to support near real-time analysis and incident escalation?"
Continuous Monitoring,Inbound & Outbound Communications Traffic ,MON-01.3,Mechanisms exist to continuously monitor inbound and outbound communications traffic for unusual or unauthorized activities or conditions.,"- CimTrak Integrity Suite (https://www.cimcor.com/cimtrak/)
- NNT Change Tracker (https://www.newnettechnologies.com)",Does the organization continuously monitor inbound and outbound communications traffic for unusual or unauthorized activities or conditions?
Continuous Monitoring,System Generated Alerts ,MON-01.4,"Mechanisms exist to monitor, correlate and respond to alerts from physical, cybersecurity, privacy and supply chain activities to achieve integrated situational awareness. ","- CimTrak Integrity Suite (https://www.cimcor.com/cimtrak/)
- NNT Change Tracker (https://www.newnettechnologies.com)","Does the organization monitor, correlate and respond to alerts from physical, cybersecurity, privacy and supply chain activities to achieve integrated situational awareness? "
Continuous Monitoring,Wireless Intrusion Detection System (WIDS),MON-01.5,Mechanisms exist to utilize Wireless Intrusion Detection / Protection Systems (WIDS / WIPS) to identify rogue wireless devices and to detect attack attempts via wireless networks. ,"- CimTrak Integrity Suite (https://www.cimcor.com/cimtrak/)
- NNT Change Tracker (https://www.newnettechnologies.com)",Does the organization utilize Wireless Intrusion Detection / Protection Systems (WIDS / WIPS) to identify rogue wireless devices and to detect attack attempts via wireless networks? 
Continuous Monitoring,Host-Based Devices ,MON-01.6,"Mechanisms exist to utilize Host-based Intrusion Detection / Prevention Systems (HIDS / HIPS) to actively alert on or block unwanted activities and send logs to a Security Incident Event Manager (SIEM), or similar automated tool, to maintain situational awareness.","- CimTrak Integrity Suite (https://www.cimcor.com/cimtrak/)
- NNT Change Tracker (https://www.newnettechnologies.com)","Does the organization utilize Host-based Intrusion Detection / Prevention Systems (HIDS / HIPS) to actively alert on or block unwanted activities and send logs to a Security Incident Event Manager (SIEM), or similar automated tool, to maintain situational awareness?"
Continuous Monitoring,File Integrity Monitoring (FIM),MON-01.7,"Mechanisms exist to utilize a File Integrity Monitor (FIM), or similar change-detection technology, on critical assets to generate alerts for unauthorized modifications. ","- CimTrak Integrity Suite (https://www.cimcor.com/cimtrak/)
- NNT Change Tracker (https://www.newnettechnologies.com)","Does the organization utilize a File Integrity Monitor (FIM), or similar change-detection technology, on critical assets to generate alerts for unauthorized modifications? "
Continuous Monitoring,Reviews & Updates ,MON-01.8,Mechanisms exist to review event logs on an ongoing basis and escalate incidents in accordance with established timelines and procedures.,"- Security Incident Event Manager (SIEM)
- Splunk",Does the organization review event logs on an ongoing basis and escalate incidents in accordance with established timelines and procedures?
Continuous Monitoring,Proxy Logging ,MON-01.9,"Mechanisms exist to log all Internet-bound requests, in order to identify prohibited activities and assist incident handlers with identifying potentially compromised systems. ","- CimTrak Integrity Suite (https://www.cimcor.com/cimtrak/)
- NNT Change Tracker (https://www.newnettechnologies.com)","Does the organization log all Internet-bound requests, in order to identify prohibited activities and assist incident handlers with identifying potentially compromised systems? "
Continuous Monitoring,Deactivated Account Activity ,MON-01.10,Mechanisms exist to monitor deactivated accounts for attempted usage.,"- CimTrak Integrity Suite (https://www.cimcor.com/cimtrak/)
- Security Incident Event Manager (SIEM)
- Splunk
- NNT Change Tracker (https://www.newnettechnologies.com)",Does the organization monitor deactivated accounts for attempted usage?
Continuous Monitoring,Automated Response to Suspicious Events,MON-01.11,Mechanisms exist to automatically implement pre-determined corrective actions in response to detected events that have security incident implications.,,Does the organization alert incident response personnel of detected suspicious events and implement actions to terminate suspicious events?
Continuous Monitoring,Automated Alerts,MON-01.12,Mechanisms exist to automatically alert incident response personnel to inappropriate or anomalous activities that have potential security incident implications.,,Does the organization alert incident response personnel of inappropriate or unusual activities that have security incident implications?
Continuous Monitoring,Alert Threshold Tuning,MON-01.13,"Mechanisms exist to ""tune"" event monitoring technologies through analyzing communications traffic/event patterns and developing profiles representing common traffic patterns and/or events.",,"Does the organization ""tune"" event monitoring technologies through analyzing communications traffic/event patterns and developing profiles representing common traffic patterns and/or events?"
Continuous Monitoring,Individuals Posing Greater Risk,MON-01.14,Mechanisms exist to implement enhanced activity monitoring for individuals who have been identified as posing an increased level of risk. ,,Does the organization implement enhanced activity monitoring for individuals who have been identified as posing an increased level of risk? 
Continuous Monitoring,Privileged User Oversight,MON-01.15,Mechanisms exist to implement enhanced activity monitoring for privileged users.,,Does the organization implement enhanced activity monitoring for privileged users?
Continuous Monitoring,Analyze and Prioritize Monitoring Requirements,MON-01.16,"Mechanisms exist to assess the organization's needs for monitoring and prioritize the monitoring of assets, based on asset criticality and the sensitivity of the data it stores, transmits and processes.",,"Does the organization assess the organization's needs for monitoring and prioritize the monitoring of assets, based on asset criticality and the sensitivity of the data it stores, transmits and processes?"
Continuous Monitoring,Real-Time Session Monitoring,MON-01.17,"Mechanisms exist to enable authorized personnel the ability to remotely view and hear content related to an established user session in real time, in accordance with organizational standards, as well as statutory, regulatory and contractual obligations.",,Does the organization enable authorized personnel the ability to remotely view and hear content related to an established user session in real time?
Continuous Monitoring,Centralized Collection of Security Event Logs,MON-02,"Mechanisms exist to utilize a Security Incident Event Manager (SIEM) or similar automated tool, to support the centralized collection of security-related event logs.","- Security Incident Event Manager (SIEM)
- Splunk","Does the organization utilize a Security Incident Event Manager (SIEM) or similar automated tool, to support the centralized collection of security-related event logs?"
Continuous Monitoring,Correlate Monitoring Information,MON-02.1,"Automated mechanisms exist to correlate both technical and non-technical information from across the enterprise by a Security Incident Event Manager (SIEM) or similar automated tool, to enhance organization-wide situational awareness.","- CimTrak Integrity Suite (https://www.cimcor.com/cimtrak/)
- Security Incident Event Manager (SIEM)
- Splunk
- NNT Change Tracker (https://www.newnettechnologies.com)","Does the organization use automated mechanisms to correlate logs from across the enterprise by a Security Incident Event Manager (SIEM) or similar automated tool, to maintain situational awareness?"
Continuous Monitoring,Central Review & Analysis,MON-02.2,"Automated mechanisms exist to centrally collect, review and analyze audit records from multiple sources.",- CimTrak Integrity Suite (https://www.cimcor.com/cimtrak/),"Does the organization centrally collect, review and analyze audit records from multiple sources?"
Continuous Monitoring,Integration of Scanning & Other Monitoring Information,MON-02.3,"Automated mechanisms exist to integrate the analysis of audit records with analysis of vulnerability scanners, network performance, system monitoring and other sources to further enhance the ability to identify inappropriate or unusual activity.",,"Does the organization integrate the analysis of audit records with analysis of vulnerability scanners, network performance, system monitoring and other sources to further enhance the ability to identify inappropriate or unusual activity?"
Continuous Monitoring,Correlation with Physical Monitoring,MON-02.4,"Automated mechanisms exist to correlate information from audit records with information obtained from monitoring physical access to further enhance the ability to identify suspicious, inappropriate, unusual or malevolent activity. ",,"Does the organization correlate information from audit records with information obtained from monitoring physical access to further enhance the ability to identify suspicious, inappropriate, unusual or malevolent activity? "
Continuous Monitoring,Permitted Actions,MON-02.5,"Mechanisms exist to specify the permitted actions for both users and systems associated with the review, analysis and reporting of audit information. ",,"Does the organization specify the permitted actions for both users and systems associated with the review, analysis and reporting of audit information? "
Continuous Monitoring,Audit Level Adjustments,MON-02.6,"Mechanisms exist to adjust the level of audit review, analysis and reporting based on evolving threat information from law enforcement, industry associations or other credible sources of threat intelligence. ",,"Does the organization adjust the level of audit review, analysis and reporting based on evolving threat information from law enforcement, industry associations or other credible sources of threat intelligence? "
Continuous Monitoring,System-Wide / Time-Correlated Audit Trail,MON-02.7,Automated mechanisms exist to compile audit records into an organization-wide audit trail that is time-correlated.,,Does the organization compile audit records into an organization-wide audit trail that is time-correlated?
Continuous Monitoring,Changes by Authorized Individuals,MON-02.8,"Mechanisms exist to provide privileged users or roles the capability to change the auditing to be performed on specified information system components, based on specific event criteria within specified time thresholds. ",- CimTrak Integrity Suite (https://www.cimcor.com/cimtrak/),"Does the organization provide privileged users or roles the capability to change the auditing to be performed on specified information system components, based on specific event criteria within specified time thresholds? "
Continuous Monitoring,Content of Event Logs,MON-03,"Mechanisms exist to configure systems to produce audit records that contain sufficient information to, at a minimum:
 ▪ Establish what type of event occurred;
 ▪ When (date and time) the event occurred;
 ▪ Where the event occurred;
 ▪ The source of the event;
 ▪ The outcome (success or failure) of the event; and 
 ▪ The identity of any user/subject associated with the event. ",- CimTrak Integrity Suite (https://www.cimcor.com/cimtrak/),"Does the organization configure systems to produce audit records that contain sufficient information to, at a minimum:
 ▪ Establish what type of event occurred;
 ▪ When (date and time) the event occurred;
 ▪ Where the event occurred;
 ▪ The source of the event;
 ▪ The outcome (success or failure) of the event; and 
 ▪ The identity of any user/subject associated with the event? "
Continuous Monitoring,Sensitive Audit Information,MON-03.1,Mechanisms exist to protect sensitive/regulated data contained in log files. ,,Does the organization protect sensitive/regulated data contained in log files? 
Continuous Monitoring,Audit Trails,MON-03.2,Mechanisms exist to link system access to individual users or service accounts.,,Does the organization link system access to individual users or service accounts?
Continuous Monitoring,Privileged Functions Logging ,MON-03.3,Mechanisms exist to log and review the actions of users and/or services with elevated privileges.,"- Security Incident Event Manager (SIEM)
- Splunk",Does the organization log and review the actions of users and/or services with elevated privileges?
Continuous Monitoring,Verbosity Logging for Boundary Devices ,MON-03.4,"Mechanisms exist to verbosely log all traffic (both allowed and blocked) arriving at network boundary devices, including firewalls, Intrusion Detection / Prevention Systems (IDS/IPS) and inbound and outbound proxies.",,"Does the organization verbosely log all traffic (both allowed and blocked) arriving at network boundary devices, including firewalls, Intrusion Detection / Prevention Systems (IDS/IPS) and inbound and outbound proxies?"
Continuous Monitoring,Limit Personal Data (PD) In Audit Records,MON-03.5,Mechanisms exist to limit Personal Data (PD) contained in audit records to the elements identified in the privacy risk assessment.,- Data Protection Impact Assessment (DPIA),Does the organization limit Personal Data (PD) contained in audit records to the elements identified in the privacy risk assessment?
Continuous Monitoring,Centralized Management of Planned Audit Record Content,MON-03.6,Mechanisms exist to centrally manage and configure the content required to be captured in audit records generated by organization-defined information system components. ,,Does the organization centrally manage and configure the content required to be captured in audit records generated by organization-defined information system components? 
Continuous Monitoring,Database Logging,MON-03.7,Mechanisms exist to ensure databases produce audit records that contain sufficient information to monitor database activities.,,"Does the organization ensure databases produce audit records that contain sufficient information to monitor database activities that includes, at a minimum:
 ▪ Access to particularly important information;
 ▪ Addition of new users, especially privileged users;
 ▪ Any query containing comments;
 ▪ Any query containing multiple embedded queries;
 ▪ Any query or database alerts or failures;
 ▪ Attempts to elevate privileges;
 ▪ Attempted access that is successful or unsuccessful;
 ▪ Changes to the database structure;
 ▪ Changes to user roles or database permissions;
 ▪ Database administrator actions;
 ▪ Database logons and logoffs;
 ▪ Modifications to data; and
 ▪ Use of executable commands?"
Continuous Monitoring,Event Log Storage Capacity ,MON-04,Mechanisms exist to allocate and proactively manage sufficient event log storage capacity to reduce the likelihood of such capacity being exceeded. ,,Does the organization allocate and proactively manage sufficient event log storage capacity to reduce the likelihood of such capacity being exceeded?
Continuous Monitoring,Response To Event Log Processing Failures,MON-05,Mechanisms exist to alert appropriate personnel in the event of a log processing failure and take actions to remedy the disruption.,"- CimTrak Integrity Suite (https://www.cimcor.com/cimtrak/)
- Security Incident Event Manager (SIEM)
- Splunk
- NNT Change Tracker (https://www.newnettechnologies.com)",Does the organization alert appropriate personnel in the event of a log processing failure and take actions to remedy the disruption?
Continuous Monitoring,Real-Time Alerts of Event Logging Failure,MON-05.1,Mechanisms exist to provide 24x7x365 near real-time alerting capability when an event log processing failure occurs. ,"- CimTrak Integrity Suite (https://www.cimcor.com/cimtrak/)
- Security Incident Event Manager (SIEM)
- Splunk
- NNT Change Tracker (https://www.newnettechnologies.com)",Does the organization provide 24x7x365 near real-time alerting capability when an event log processing failure occurs?
Continuous Monitoring,Event Log Storage Capacity Alerting ,MON-05.2,Automated mechanisms exist to alert appropriate personnel when the allocated volume reaches an organization-defined percentage of maximum event log storage capacity.,,Does the organization alert appropriate personnel when the allocated volume reaches an organization-defined percentage of maximum event log storage capacity?
Continuous Monitoring,Monitoring Reporting ,MON-06,Mechanisms exist to provide an event log report generation capability to aid in detecting and assessing anomalous activities. ,"- CimTrak Integrity Suite (https://www.cimcor.com/cimtrak/)
- Security Incident Event Manager (SIEM)
- Splunk
- NNT Change Tracker (https://www.newnettechnologies.com)",Does the organization provide an event log report generation capability to aid in detecting and assessing anomalous activities? 
Continuous Monitoring,Query Parameter Audits of Personal Data (PD),MON-06.1,Mechanisms exist to provide and implement the capability for auditing the parameters of user query events for data sets containing Personal Data (PD).,,Does the organization provide and implement the capability for auditing the parameters of user query events for data sets containing Personal Data (PD)?
Continuous Monitoring,Trend Analysis Reporting,MON-06.2,"Mechanisms exist to employ trend analyses to determine if security control implementations, the frequency of continuous monitoring activities, and/or the types of activities used in the continuous monitoring process need to be modified based on empirical data.",,"Does the organization employ trend analyses to determine if security control implementations, the frequency of continuous monitoring activities, and/or the types of activities used in the continuous monitoring process need to be modified based on empirical data?"
Continuous Monitoring,Time Stamps ,MON-07,Mechanisms exist to configure systems to use an authoritative time source to generate time stamps for event logs. ,,Does the organization configure systems to use an authoritative time source to generate time stamps for event logs? 
Continuous Monitoring,Synchronization With Authoritative Time Source,MON-07.1,Mechanisms exist to synchronize internal system clocks with an authoritative time source. ,- Network Time Protocol (NTP),Does the organization synchronize internal system clocks with an authoritative time source? 
Continuous Monitoring,Protection of Event Logs ,MON-08,"Mechanisms exist to protect event logs and audit tools from unauthorized access, modification and deletion.","- CimTrak Integrity Suite (https://www.cimcor.com/cimtrak/)
- Security Incident Event Manager (SIEM)
- Splunk","Does the organization protect event logs and audit tools from unauthorized access, modification and deletion?"
Continuous Monitoring,Event Log Backup on Separate Physical Systems / Components ,MON-08.1,Mechanisms exist to back up event logs onto a physically different system or system component than the Security Incident Event Manager (SIEM) or similar automated tool.,"- CimTrak Integrity Suite (https://www.cimcor.com/cimtrak/)
- Security Incident Event Manager (SIEM)
- Splunk",Does the organization back up event logs onto a physically different system or system component than the Security Incident Event Manager (SIEM) or similar automated tool?
Continuous Monitoring,Access by Subset of Privileged Users ,MON-08.2,Mechanisms exist to restrict access to the management of event logs to privileged users with a specific business need.,"- Security Incident Event Manager (SIEM)
- Splunk",Does the organization restrict access to the management of event logs to privileged users with a specific business need?
Continuous Monitoring,Cryptographic Protection of Event Log Information,MON-08.3,Cryptographic mechanisms exist to protect the integrity of event logs and audit tools. ,- CimTrak Integrity Suite (https://www.cimcor.com/cimtrak/),Does the organization protect the integrity of event logs and audit tools with cryptographic mechanisms? 
Continuous Monitoring,Dual Authorization for Event Log Movement,MON-08.4,Automated mechanisms exist to enforce dual authorization for the movement or deletion of event logs.,,Does the organization enforce dual authorization for the movement or deletion of event logs?
Continuous Monitoring,Non-Repudiation,MON-09,Mechanisms exist to utilize a non-repudiation capability to protect against an individual falsely denying having performed a particular action. ,- CimTrak Integrity Suite (https://www.cimcor.com/cimtrak/),Does the organization utilize a non-repudiation capability to protect against an individual falsely denying having performed a particular action? 
Continuous Monitoring,Identity Binding,MON-09.1,Mechanisms exist to bind the identity of the information producer to the information generated.,,Does the organization bind the identity of the information producer to the information generated?
Continuous Monitoring,Event Log Retention,MON-10,"Mechanisms exist to retain event logs for a time period consistent with records retention requirements to provide support for after-the-fact investigations of security incidents and to meet statutory, regulatory and contractual retention requirements. ",- CimTrak Integrity Suite (https://www.cimcor.com/cimtrak/),"Does the organization retain event logs for a time period consistent with records retention requirements to provide support for after-the-fact investigations of security incidents and to meet statutory, regulatory and contractual retention requirements? "
Continuous Monitoring,Monitoring For Information Disclosure,MON-11,Mechanisms exist to monitor for evidence of unauthorized exfiltration or disclosure of non-public information. ,"- Content filtering solution
- Review of social media outlets",Does the organization monitor for evidence of unauthorized exfiltration or disclosure of non-public information? 
Continuous Monitoring,Analyze Traffic for Covert Exfiltration,MON-11.1,Automated mechanisms exist to analyze network traffic to detect covert data exfiltration.,,Does the organization analyze network traffic to detect covert data exfiltration?
Continuous Monitoring,Unauthorized Network Services,MON-11.2,Automated mechanisms exist to detect unauthorized network services and alert incident response personnel. ,,Does the organization detect unauthorized network services and alert incident response personnel? 
Continuous Monitoring,Monitoring for Indicators of Compromise (IOC),MON-11.3,Automated mechanisms exist to identify and alert on Indicators of Compromise (IoC). ,- CimTrak Integrity Suite (https://www.cimcor.com/cimtrak/),Does the organization identify and alert on Indicators of Compromise (IoC)? 
Continuous Monitoring,Session Audit ,MON-12,"Mechanisms exist to provide session audit capabilities that can: 
 ▪ Capture and log all content related to a user session; and
 ▪ Remotely view all content related to an established user session in real time.",- NNT Change Tracker (https://www.newnettechnologies.com),"Does the organization provide session audit capabilities that: 
 ▪ Capture and log all content related to a user session; and
 ▪ Remotely view all content related to an established user session in real time?"
Continuous Monitoring,Alternate Event Logging Capability ,MON-13,Mechanisms exist to provide an alternate event logging capability in the event of a failure in primary audit capability.,"- CimTrak Integrity Suite (https://www.cimcor.com/cimtrak/)
- NNT Change Tracker (https://www.newnettechnologies.com)",Does the organization provide an alternate audit capability in the event of a failure in primary audit capability?
Continuous Monitoring,Cross-Organizational Monitoring ,MON-14,"Mechanisms exist to coordinate sanitized event logs among external organizations to identify anomalous events when event logs are shared across organizational boundaries, without giving away sensitive or critical business data.",,"Does the organization coordinate sanitized event logs among external organizations to identify anomalous events when event logs are shared across organizational boundaries, without giving away sensitive or critical business data?"
Continuous Monitoring,Sharing of Event Logs,MON-14.1,Mechanisms exist to share event logs with third-party organizations based on specific cross-organizational sharing agreements.,- Veris (incident sharing) (http://veriscommunity.net),Does the organization share event logs with third-party organizations based on specific cross-organizational sharing agreements?
Continuous Monitoring,Covert Channel Analysis ,MON-15,Mechanisms exist to conduct covert channel analysis to identify aspects of communications that are potential avenues for covert channels.,,Does the organization conduct covert channel analysis to identify aspects of communications that are potential avenues for covert channels?
Continuous Monitoring,Anomalous Behavior,MON-16,Mechanisms exist to detect and respond to anomalous behavior that could indicate account compromise or other malicious activities.,"- CimTrak Integrity Suite (https://www.cimcor.com/cimtrak/)
- NNT Change Tracker (https://www.newnettechnologies.com)",Does the organization detect and respond to anomalous behavior that could indicate account compromise or other malicious activities?
Continuous Monitoring,Insider Threats,MON-16.1,Mechanisms exist to monitor internal personnel activity for potential security incidents.,"- CimTrak Integrity Suite (https://www.cimcor.com/cimtrak/)
- NNT Change Tracker (https://www.newnettechnologies.com)",Does the organization monitor internal personnel activity for potential security incidents?
Continuous Monitoring,Third-Party Threats,MON-16.2,Mechanisms exist to monitor third-party personnel activity for potential security incidents.,"- CimTrak Integrity Suite (https://www.cimcor.com/cimtrak/)
- NNT Change Tracker (https://www.newnettechnologies.com)",Does the organization monitor third-party personnel activity for potential security incidents?
Continuous Monitoring,Unauthorized Activities,MON-16.3,"Mechanisms exist to monitor for unauthorized activities, accounts, connections, devices and software.","- CimTrak Integrity Suite (https://www.cimcor.com/cimtrak/)
- NNT Change Tracker (https://www.newnettechnologies.com)","Does the organization monitor for unauthorized activities, accounts, connections, devices and software?"
Continuous Monitoring,Account Creation and Modification Logging,MON-16.4,Automated mechanisms exist to generate event logs for permissions changes to privileged accounts and/or groups.,,Does the organization ensure event logs are generated for permissions changes to privileged accounts and/or groups.
Cryptographic Protections ,Use of Cryptographic Controls ,CRY-01,Mechanisms exist to facilitate the implementation of cryptographic protections controls using known public standards and trusted cryptographic technologies.,"- Key and certificate management solutions
- Microsoft BitLocker (https://www.microsoft.com/en-us/download/details.aspx?id=53006)
- Symantec Endpoint Encryption (https://www.symantec.com/products/endpoint-protection)
- Vormetric Transparent Encryption (https://www.thalesesecurity.com/products/data-encryption/vormetric-transparent-encryption)",Does the organization facilitate the implementation of cryptographic protections controls using known public standards and trusted cryptographic technologies?
Cryptographic Protections ,Alternate Physical Protection ,CRY-01.1,Cryptographic mechanisms exist to prevent unauthorized disclosure of information as an alternative to physical safeguards. ,,Are cryptographic mechanisms used to prevent unauthorized disclosure of information as an alternative to physical safeguards? 
Cryptographic Protections ,Export-Controlled Technology,CRY-01.2,Mechanisms exist to address the exporting of cryptographic technologies in compliance with relevant statutory and regulatory requirements.,,Does the organization address the exporting of cryptographic technologies in compliance with relevant statutory and regulatory requirements?
Cryptographic Protections ,Pre/Post Transmission Handling,CRY-01.3,Cryptographic mechanisms exist to ensure the confidentiality and integrity of information during preparation for transmission and during reception.,,Does the organization ensure the confidentiality and integrity of information during preparation for transmission and during reception with cryptographic mechanisms?
Cryptographic Protections ,Conceal / Randomize Communications,CRY-01.4,Cryptographic mechanisms exist to conceal or randomize communication patterns.,,Does the organization conceal or randomize communication patterns with cryptographic mechanisms?
Cryptographic Protections ,Cryptographic Cipher Suites and Protocols Inventory,CRY-01.5,"Mechanisms exist to identify, document and review deployed cryptographic cipher suites and protocols to proactively respond to industry trends regarding the continued viability of utilized cryptographic cipher suites and protocols.",,"Does the organization identify, document and review deployed cryptographic cipher suites and protocols to proactively respond to industry trends regarding the continued viability of utilized cryptographic cipher suites and protocols?"
Cryptographic Protections ,Cryptographic Module Authentication,CRY-02,Automated mechanisms exist to enable systems to authenticate to a cryptographic module.,- Yubico (https://www.yubico.com),Do cryptographic mechanisms authenticate to a cryptographic module?
Cryptographic Protections ,Transmission Confidentiality ,CRY-03,Cryptographic mechanisms exist to protect the confidentiality of data being transmitted. ,"- SSL / TLS protocols
- IPSEC Tunnels
- Native MPLS encrypted tunnel configurations
- Custom encrypted payloads",Are cryptographic mechanisms utilized to protect the confidentiality of data being transmitted? 
Cryptographic Protections ,Transmission Integrity ,CRY-04,Cryptographic mechanisms exist to protect the integrity of data being transmitted. ,,Are cryptographic mechanisms utilized to protect the integrity of data being transmitted? 
Cryptographic Protections ,Encrypting Data At Rest ,CRY-05,Cryptographic mechanisms exist to prevent unauthorized disclosure of data at rest. ,- Symantec Endpoint Encryption (https://www.symantec.com/products/endpoint-protection),Are cryptographic mechanisms utilized on systems to prevent unauthorized disclosure of data at rest? 
Cryptographic Protections ,Storage Media,CRY-05.1,Cryptographic mechanisms exist to protect the confidentiality and integrity of sensitive/regulated data residing on storage media.,"- Native Storage Area Network (SAN) encryption functionality
- BitLocker and EFS",Are cryptographic mechanisms utilized to protect the confidentiality and integrity of sensitive/regulated data residing on storage media?
